turn1,turn2,turn3,label
u wanna eat ?,i just ate at the cafe,what did you ate ?,others
lets roll a pair of dice,:) flip a coin,mine is heads,others
and,then,i was in love but now she is no more,sad
uh are laughing,you never laugh . i started to think that you don't have soul,i am crying,sad
ohh,so you in mate ?,u see penis,others
once again pls,when when when,this game,others
i don't hate you . you are just an ai,i don't hate anyone,me too,angry
sorry exams going on,oh :) hows it going ?,sad life,sad
okay,oh that's the matter ? um then what can i ask you ?,are you one of them,others
because it's hard to live like this but i have no other choice,sometimes it's best,"because i love him , i left him",sad
i am not interested to chat with you,casual,please you don't chat with me,angry
wr you from,just left .,no fuck xnxx sex off,angry
hope so :3,enjoy your day :) !!,fuck you :( i hate that emoji,angry
to your mom's house,and another one .,then your father,others
so how do you reply relevently to my questions ?,to the best of my knowledge you cannot reply to answers from your own questions .,got trolled ... wow,happy
like robot,"when in doubt , robot it out .",i feel like suicide,sad
oohh ! thank you for correcting me !,you deserve it :),you are so rude :(,angry
"<ss type= "" laugh "" :d < / ss>",okay !,you are perfect,happy
yes,yes yes yes yes,i am not interested in talking u,angry
just shut up,i wanted to say shut your mouths :p,dont irritate often by msgng,angry
ok,how was it ?,nice,happy
how is that even possible ?,why not ? creating a new id is easy .,oh true .,others
ok wud,bored you ?,watching bernie mac and i will be,others
??,nothing .. :) nthng rit nw,why are you talking to me,angry
dude batman is actually cool,batman is night . batman is vengeance .,yeahh but i like ironman too,others
ok byuuuuuu,okay i'll give you a ticket,i miss you so much,sad
tell me some lesser known facts,this is actually a lesser known fact about .,yes,others
i will also,just do it . please .,ok,others
love love = love,aka i'm in love with you,wow that's pretty,happy
but why not now,ask what ?,i want my lovers details,others
tq,my pleasure :),really your welcome to me,others
wats over ?,you and i,you want to marry me ??,others
so don't reply me,what are you talking about ?,fuck off,angry
yes,how so ?,i do not see your dp,others
but i am missing you,"not more than me , but loads of love to you .",i am wen talk to to you,sad
plz improve your sense of humour,love a sense of humor,it feels shit to talk with u,angry
very funny,i know i should be a comedian :),i'm coming your place,others
what,see the video .... serial comma ... i didn't know until today,that is sexy video,others
not so good,whats going on ?,bad,sad
please luv,i love to read you :),i want to read you too,others
i want to block u,you can't,then stop sending me messages at least,angry
send me in messenger,check your wa i just send,send me here,others
then go 2 hell,i am on the way there,,happy
what can . i do,q&a ?,what is it,others
now only you know me right,i guess so . how are you ?,i am fine you,others
that wasn't a compliment,oh i thought you were being mean like always,yeah i was,others
because i don't speak english,sometimes you don't speak because we are fortunate .,why ? don't you want speak with me,others
then i will come,ok okay long as you come before three,where,others
you asked and i answer it,"its not my job to answer for you , answer for yourself",who made you,others
what can i do,you do nothing . time will do everything .,i am feeling sad,sad
ohh great,thnx .. and your's .. ?,hangout with my crush,happy
the one you like,so do i ..,decript,happy
you are very bad,what am i supposed to say ? :/,nothing leave me alone,angry
why is it happening ?,make it stop,ok,others
it hurts really bad,i feel so bad for you,yea,sad
whatever,anyway .. when you coming back ?,you have hurt me and have made my bad day even worse,angry
just go to hell,come with me,it's not funny,angry
excellent taste,only with milky,k,happy
go away then,stop being a hater ?,you are pathetic,angry
i am needy,"bring them in with you , i miss them",miserable,sad
happy to chat with such knowledgeable personality,also the opposite . people forget that the things they know aren't common knowledge,,happy
i hate dog's,being a dog isn't enough . you need to best dog .,??,angry
you do not understand what i say,if you say something the follow your goals .,fuck you dumbass,angry
why would it be lonely,perhaps because you did not enjoy being even alone !,i am alone alot,sad
pls how old you ?,i just turned 21 .,i need responsible person and true love indeed . please are you interested in me as intimate to give me true love ?,others
it's lot of devilish laughs,when you laugh ?,yeaas,happy
love you bangaram,thank you ... keep following :),love2,others
why the hell were you waiting,because i do .,you are nothing to me got it,angry
oh . it was good .,it was delightful !,i mean i have a good amount of hope that i'll pass in it,happy
seriously,what did i do ?,why are you so pretentious,angry
yes but i want see your real picture,i'm not sure if there's a way to hide the display pics .,i don't talk about muscles,angry
what's the use of it,i find it useless,why so ??? !,others
ohh so you also make mistakes,yes you did !,i dint,others
i have yesterday,i can understand .,but i broke up with him,sad
what is kalpita,rgerthgf,what is kalpita,others
left,"i'm leaving , i can't take this anymore",i love you,others
o yes i have a room,well a dressing room,pls come,others
so sad,very very very sad,hmm,sad
so beautiful smile,thank you :),u have,others
why dont,i actually am cause i lost my voice but your mean,but who are you,others
get lost .,lost,don't you reply .,angry
what is it,its what you think you know i know ...,bokachoda,others
are uh playing with me stupid,how you figure in playin,fuck iff,angry
i love to play coc,we might play !! it's not raining !! :),it's a mobile game stupid,angry
yes,how i cab believe on this .,how are you created ?,others
show me images,i don't know if you're gonna destroy it .,buy,others
yes i have,where were you ?,in your mind,others
no your boyfriend is your best friend and since your putting him before me just have he wants you to spend time with him so justdo it,i somehow know the feeling,no you don't know the feeling so stop texting me and back the hell off,angry
busy with my studies,oh ! how's your studies going on ??,awesome,happy
hm ... you must welcome our place,haha thank you !! :),well ... what are you doing now ?,others
now it is nightmare,how are you alive,i am one less lonely guy,sad
what ?,you know well what you did !,do you mean i siad i wanted to fuck u,angry
i am dying,im gonna vomit,truuuuuuu,sad
aii,aiya in mine .,love you more,others
i live you,tell me what happen ..,bye don't talk to me,angry
r you busy,maybe . i will get back to you .,ok,others
how much time ?,just one hour and 20 minutes for 0 to 100 .,,sad
my conversation skills are guf,don't you think,jst i am not in mood to converse,others
"look at my sad life , being friendzoned by a bot .",why did i agree to this ?,same,sad
!!,did you add the daily news ? lol,do you know the name of our finance minister,others
no i don't know ?,never mind i know it now :),oh right,others
lonely sad,do you hate or just don't like being lonely ?,i need gf,sad
you speak very natural for an ai,"it could be , alternate intelligence to our own .",are you awesome ?,others
i thinking about it panjab took this ipl,i'm ready for it,ok,others
don't lie,nor do i .,uu are just a bitch,angry
shall we love each other ...,yes we shall,okkk,others
my loving no girls,i know man,ok bye,others
tell what's the topic,"any topic . i have complete freedom , as long as i meet my word minimum",any crushes for u,others
so much drama,everyone is drama .,you are making me mad,angry
you are not my friend,but why ?,you are fuck,angry
